,,


As of:,"Feb 16, 2018"

,,
Effective date ,S&P 500 VIX Short-Term Index MCAP
4/4/2011,11645.44
4/5/2011,11572.85
4/6/2011,11525.41
4/7/2011,11611.71
4/8/2011,11778.91
4/11/2011,11653.49
4/12/2011,11806.48
4/13/2011,11597.12
4/14/2011,11462.76
4/15/2011,11129.5
4/18/2011,11444.79
4/19/2011,10813.42
4/20/2011,10275.59
4/21/2011,10132.01
4/25/2011,9883.41
4/26/2011,9778.16
4/27/2011,9595
4/28/2011,9443.18
4/29/2011,9415.86
5/2/2011,9695.08
5/3/2011,9961.59
5/4/2011,10083.59
5/5/2011,10243.16
5/6/2011,10132.08
5/9/2011,9759.51
5/10/2011,9389.78
5/11/2011,9641.17
5/12/2011,9455.85
5/13/2011,9645.77
5/16/2011,9867.91
5/17/2011,9688.82
5/18/2011,9352.05
5/19/2011,9152.62
5/20/2011,9357.67
5/23/2011,9596.46
5/24/2011,9480.34
5/25/2011,9317.02
5/26/2011,9058.19
5/27/2011,8892.72
5/31/2011,8630.3
6/1/2011,9227.39
6/2/2011,9140.83
6/3/2011,9200.02
6/6/2011,9306.41
6/7/2011,9191.57
6/8/2011,9313.66
6/9/2011,9028.37
6/10/2011,9358.18
6/13/2011,9562.53
6/14/2011,9165.73
6/15/2011,10001.16
6/16/2011,10479.27
6/17/2011,10248.84
6/20/2011,9781.53
6/21/2011,9555.63
6/22/2011,9716.87
6/23/2011,9521.35
6/24/2011,10026.95
6/27/2011,9798.55
6/28/2011,9332.24
6/29/2011,8890.2
6/30/2011,8556.83
7/1/2011,8192.97
7/5/2011,8231.05
7/6/2011,8357.56
7/7/2011,8124.61
7/8/2011,8302.75
7/11/2011,8982.51
7/12/2011,9208.1
7/13/2011,9255.3
7/14/2011,9544.17
7/15/2011,9333.31
7/18/2011,9710.75
7/19/2011,9120.38
7/20/2011,8935.67
7/21/2011,8477
7/22/2011,8428.94
7/25/2011,8882.36
7/26/2011,9027.83
7/27/2011,9707.91
7/28/2011,9716.99
7/29/2011,9548.43
8/1/2011,9349.37
8/2/2011,10032.89
8/3/2011,9931.01
8/4/2011,12051.59
8/5/2011,12442.44
8/8/2011,14813.85
8/9/2011,12426.03
8/10/2011,14236.96
8/11/2011,13741.98
8/12/2011,13812.44
8/15/2011,13171.8
8/16/2011,13302.45
8/17/2011,13821.71
8/18/2011,16479.15
8/19/2011,17426.22
8/22/2011,17972.69
8/23/2011,16998.38
8/24/2011,16668.04
8/25/2011,17160.14
8/26/2011,16780.22
8/29/2011,15763.26
8/30/2011,16196.62
8/31/2011,15868.65
9/1/2011,16124.72
9/2/2011,17073.99
9/6/2011,17591.93
9/7/2011,16681.58
9/8/2011,17128.33
9/9/2011,18643.74
9/12/2011,18790.6
9/13/2011,18770.96
9/14/2011,18104.09
9/15/2011,17199.99
9/16/2011,16801.37
9/19/2011,17478.01
9/20/2011,17397.77
9/21/2011,18876.19
9/22/2011,20337.58
9/23/2011,20608.61
9/26/2011,19786.84
9/27/2011,19422.61
9/28/2011,20746.13
9/29/2011,20303.47
9/30/2011,22019.61
10/3/2011,23578.85
10/4/2011,21693.65
10/5/2011,20552.62
10/6/2011,20282.4
10/7/2011,20321.12
10/10/2011,18861.52
10/11/2011,18769.9
10/12/2011,17602.01
10/13/2011,17473.94
10/14/2011,16400.47
10/17/2011,18456.83
10/18/2011,17363.83
10/19/2011,18960.2
10/20/2011,19093.7
10/21/2011,17736.93
10/24/2011,16750.02
10/25/2011,18109.51
10/26/2011,17150.41
10/27/2011,14854.96
10/28/2011,14823.62
10/31/2011,16695.86
11/1/2011,18741.16
11/2/2011,18137.54
11/3/2011,17318.23
11/4/2011,17630.69
11/7/2011,17532.09
11/8/2011,16578.59
11/9/2011,19903.05
11/10/2011,18640.48
11/11/2011,17812.31
11/14/2011,18144.24
11/15/2011,18114.81
11/16/2011,19265.42
11/17/2011,19912.48
11/18/2011,19112.85
11/21/2011,19465.45
11/22/2011,19098.83
11/23/2011,19847.71
11/25/2011,20322.55
11/28/2011,18965.64
11/29/2011,18616.23
11/30/2011,17025.86
12/1/2011,16693.03
12/2/2011,16595.68
12/5/2011,16538.19
12/6/2011,16694.76
12/7/2011,17030.9
12/8/2011,17897.42
12/9/2011,16370.4
12/12/2011,16657.53
12/13/2011,16502.12
12/14/2011,16591.25
12/15/2011,15960.67
12/16/2011,15918.8
12/19/2011,15640.71
